svc,cohort,cohort_years,paygrade_level,paygrade,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,2012,2,E,E6,13680,16960,,14090,10840,,34290,43820,,51000,62390,,76110,87440,,1,1,-1,1,1,-1,1,1,-1
0,2012,2,E,E7-E9,18760,21040,,14280,11990,,41530,51270,,60870,71950,,85720,96040,,1,1,-1,1,1,-1,1,1,-1
0,2014,2,X,E1-E9,141800,190000,,162400,114400,,25800,36210,,38840,53580,,58170,76640,,1,1,-1,1,1,-1,1,1,-1
0,2014,2,E,E1,5669,7483,,7182,5431,,19460,24400,,24840,34800,,33090,47740,,1,1,-1,1,1,-1,1,1,-1
0,2014,2,E,E2,5367,7164,,6533,4698,,19720,25260,,25520,36040,,34540,50010,,1,1,-1,1,1,-1,1,1,-1
0,2014,2,E,E3,12580,17580,,16820,11890,,21060,28510,,28670,40940,,39190,57490,,1,1,-1,1,1,-1,1,1,-1
0,2014,2,E,E4,49660,71520,,64860,43010,,23780,34330,,34090,49530,,47780,68900,,1,1,-1,1,1,-1,1,1,-1
0,2014,2,E,E5,33810,45820,,37620,25600,,29500,42100,,43660,60150,,62850,83210,,1,1,-1,1,1,-1,1,1,-1
0,2014,2,E,E6,15240,18600,,14810,11480,,35690,45640,,52200,65250,,74790,91290,,1,1,-1,1,1,-1,1,1,-1
0,2014,2,E,E7-E9,19490,21830,,14570,12270,,42240,53500,,61310,75100,,84090,98910,,1,1,-1,1,1,-1,1,1,-1
0,2016,2,X,E1-E9,140400,177500,,138500,101400,,26230,36390,,40180,53980,,61400,77680,,1,1,-1,1,1,-1,1,1,-1
0,2016,2,E,E1,5645,7056,,6272,4826,,19210,24320,,24980,34610,,33540,47740,,1,1,-1,1,1,-1,1,1,-1
0,2016,2,E,E2,5759,7221,,5940,4495,,19660,25310,,25620,35790,,34700,48980,,1,1,-1,1,1,-1,1,1,-1
0,2016,2,E,E3,14100,18220,,15640,11520,,21180,28830,,29250,40970,,40450,57390,,1,1,-1,1,1,-1,1,1,-1
0,2016,2,E,E4,49670,66590,,54030,37170,,24530,34960,,35700,50340,,50770,70070,,1,1,-1,1,1,-1,1,1,-1
